#Feature ID,Domain,Phylum ,Class,Order,Family,Genus,Species,Strain
2cd465b2e1912842aaa424ae4ac8b62f,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI clade,actinobacterium SCGC AAA023-D18,2cd465b2e1912842aaa424ae4ac8b62f
90eb23c9a4b1fb74b5effa1f917bd730,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Salinirepens,Ambiguous_taxa,90eb23c9a4b1fb74b5effa1f917bd730
b688a65229896038a5d9ce981a1a5e25,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,uncultured,metagenome,b688a65229896038a5d9ce981a1a5e25
a9360c0a1300c954aefbdaeb9109d345,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,,,,a9360c0a1300c954aefbdaeb9109d345
43baaa1588e5409150cd37aff3133ce3,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade III,,,43baaa1588e5409150cd37aff3133ce3
29f3083d2d8f993bec5a67e7af219321,Bacteria,Verrucomicrobia,Verrucomicrobiae,Opitutales,Opitutaceae,Lacunisphaera,,29f3083d2d8f993bec5a67e7af219321
7d5697024ced5b153721c6e8c9899591,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Exanthemachrysis gayraliae,Exanthemachrysis gayraliae,Exanthemachrysis gayraliae,7d5697024ced5b153721c6e8c9899591
070fc272903ae7ea02e3a26448029004,Bacteria,Acidobacteria,Holophagae,Holophagales,Holophagaceae,Geothrix,,070fc272903ae7ea02e3a26448029004
f4e9a31522d979abe46886929854da65,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola,,f4e9a31522d979abe46886929854da65
4744c03db226d903293f9342f292e94d,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola,,4744c03db226d903293f9342f292e94d
2a534bd7bb86e3a5f771a3fc46ab5279,Bacteria,Verrucomicrobia,Verrucomicrobiae,uncultured,,,,2a534bd7bb86e3a5f771a3fc46ab5279
19d7599ec1ddec367f33e03fe6ee6f08,Bacteria,Proteobacteria,Gammaproteobacteria,,,,,19d7599ec1ddec367f33e03fe6ee6f08
529768d439b63fc1fd2991f7c6ea2071,Bacteria,,,,,,,529768d439b63fc1fd2991f7c6ea2071
34b262693d693a0cbf5d81d87ea6cdc3,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacterales Incertae Sedis,uncultured,uncultured alpha proteobacterium,34b262693d693a0cbf5d81d87ea6cdc3
aca450f26ca1e38523ecc714e62fc131,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Epipyxis sp. PR26KG,Epipyxis sp. PR26KG,Epipyxis sp. PR26KG,aca450f26ca1e38523ecc714e62fc131
edfd9fe7b9fc7af35fba481211003097,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,,,edfd9fe7b9fc7af35fba481211003097
275189191f11e08f2de2543186de8742,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,,275189191f11e08f2de2543186de8742
d4a0d4acb7547538ea23749e04724e05,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,d4a0d4acb7547538ea23749e04724e05
25c9884cd991eb1695f6a20546b4a231,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Hydrogenophaga,,25c9884cd991eb1695f6a20546b4a231
08b5431746eb07a9f6d51e9568f946b7,Bacteria,Margulisbacteria,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,08b5431746eb07a9f6d51e9568f946b7
21bdb6c8cb7ed339792d39838ea86d08,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Aquicella,,21bdb6c8cb7ed339792d39838ea86d08
c89fa48b6d731b830c1bebb17f56236d,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,,c89fa48b6d731b830c1bebb17f56236d
b2b987b5ec3abf3996f91a6e9852fe60,Bacteria,,,,,,,b2b987b5ec3abf3996f91a6e9852fe60
53917fa8acf5a128ca006e564d371f77,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,uncultured bacterium,uncultured bacterium,53917fa8acf5a128ca006e564d371f77
5c63267c4d1900e74efd16df213b9182,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,,,5c63267c4d1900e74efd16df213b9182
ec94d812578db7dd0670073ea694fae1,Bacteria,Dependentiae,Babeliae,Babeliales,uncultured bacterium,uncultured bacterium,uncultured bacterium,ec94d812578db7dd0670073ea694fae1
82f429ead1097c30acba7d66a109b98c,Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,0319-6G20,uncultured bacterium,uncultured bacterium,82f429ead1097c30acba7d66a109b98c
5312932685fa537dca8e7ff3aae5c263,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,,,5312932685fa537dca8e7ff3aae5c263
84ea6ae6159e2c9dbcbacdb7ba41f077,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,,84ea6ae6159e2c9dbcbacdb7ba41f077
fb2dab56bf8047ade734c2fceccb49e4,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade III,,,fb2dab56bf8047ade734c2fceccb49e4
94c2f3105ad7a9016b4b58d0960cbe27,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Cyclobacteriaceae,Algoriphagus,uncultured Hongiella sp.,94c2f3105ad7a9016b4b58d0960cbe27
d4e351ca4848bed2680ed605d9c2c41c,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,uncultured,,d4e351ca4848bed2680ed605d9c2c41c
0b27c934e508472e1285f41f531d0e17,Bacteria,Margulisbacteria,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,0b27c934e508472e1285f41f531d0e17
3d78b85ab87deb6f41c86b231f0b91ef,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,,,,3d78b85ab87deb6f41c86b231f0b91ef
d829bee4984f82ffc2453212157caf96,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,,d829bee4984f82ffc2453212157caf96
adb66bb8694d9482402ea710749a5e74,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,,adb66bb8694d9482402ea710749a5e74
e9790c43e8e9a2bb8e0dd0eb8846e4d2,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methyloparacoccus,,e9790c43e8e9a2bb8e0dd0eb8846e4d2
72294178aa1b28b6296870c5eafa24e0,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,,72294178aa1b28b6296870c5eafa24e0
33bf8232ee3846b9ad6cfa9bf91ec1a0,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Hemiselmis virescens,Hemiselmis virescens,Hemiselmis virescens,33bf8232ee3846b9ad6cfa9bf91ec1a0
6cc504ebbfc8de17f47b826e1a388f8a,Bacteria,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteriaceae,Rubrobacter,,6cc504ebbfc8de17f47b826e1a388f8a
be3f5b0400830c0d1e79308a899f4cac,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,uncultured,uncultured Bacteroidetes bacterium,be3f5b0400830c0d1e79308a899f4cac
d295b9a63b6148b9f4663819da1c914b,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,,,d295b9a63b6148b9f4663819da1c914b
37fea9159f64f7a2eb43eb3088b5c46a,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,,,,37fea9159f64f7a2eb43eb3088b5c46a
a7288c4170a83e9dc0490afc7ffc6187,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospiraceae,uncultured,,a7288c4170a83e9dc0490afc7ffc6187
f2d4e9e8e9bc07e40b9d21ab8d86f4c9,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,,,f2d4e9e8e9bc07e40b9d21ab8d86f4c9
c4297ec10fcb9d4d1a9811dbe4a1ec79,Bacteria,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter canadensis,c4297ec10fcb9d4d1a9811dbe4a1ec79
1e6c023bbd7769a702c56063777fb587,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Robiginitalea,,1e6c023bbd7769a702c56063777fb587
5fbb8d16aa790e4cda6e53d9870c4656,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,OM27 clade,,5fbb8d16aa790e4cda6e53d9870c4656
a7f352a18d1a6e98b69c07500831f3eb,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,uncultured bacterium,uncultured bacterium,a7f352a18d1a6e98b69c07500831f3eb
b72466c1473504dc8cd2f205ba8a4a27,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,,,,b72466c1473504dc8cd2f205ba8a4a27
bdedb161eace728b707f1f391cade010,Bacteria,Acidobacteria,Acidobacteriia,Subgroup 2,uncultured Holophaga sp.,uncultured Holophaga sp.,uncultured Holophaga sp.,bdedb161eace728b707f1f391cade010
9e7cdd75c435a5570728c37ff257d549,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,,9e7cdd75c435a5570728c37ff257d549
733b45a9acaf76b1662c9cc75784dfb4,Bacteria,Bacteroidetes,Ignavibacteria,OPB56,,,,733b45a9acaf76b1662c9cc75784dfb4
463fd7d87b0ddd0b6baf70ce9e582601,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,BIrii41,,,463fd7d87b0ddd0b6baf70ce9e582601
088bc2e5228101932e94ad30c2f7b3ec,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,,,,088bc2e5228101932e94ad30c2f7b3ec
9959d41eb08c824dc37ee5da238cf39a,Bacteria,Proteobacteria,Alphaproteobacteria,Thalassobaculales,Thalassobaculaceae,Thalassobaculum,alpha proteobacterium BAL199,9959d41eb08c824dc37ee5da238cf39a
aca28e4f440b01d56bc951ba98270a87,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,,aca28e4f440b01d56bc951ba98270a87
90d7da5d191f2a5c3ef9eeae56d5738e,Bacteria,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Sulfurimonas,,90d7da5d191f2a5c3ef9eeae56d5738e
dc3835d12dc9edc210bddff9c66bf356,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,Candidatus Aquirestis,,dc3835d12dc9edc210bddff9c66bf356
38c27ceaed634984c1225a82648cf571,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,38c27ceaed634984c1225a82648cf571
1d9c1079cd04728fa4653fce74571460,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,,,1d9c1079cd04728fa4653fce74571460
5a18ff3f958b1f4490e987fc0193ae25,Bacteria,Cyanobacteria,Oxyphotobacteria,Synechococcales,Cyanobiaceae,Cyanobium PCC-6307,Synechococcus sp. MBIC10459,5a18ff3f958b1f4490e987fc0193ae25
ae88f77525a7096df7c0d9c6ede9f846,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Prosthecobacter,,ae88f77525a7096df7c0d9c6ede9f846
7c338eeece15edbfcf8ed52c568f6fc2,Bacteria,Proteobacteria,Gammaproteobacteria,OM182 clade,Ambiguous_taxa,Ambiguous_taxa,Ambiguous_taxa,7c338eeece15edbfcf8ed52c568f6fc2
875411adf1506374b06f93ba934efe57,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,uncultured,metagenome,875411adf1506374b06f93ba934efe57
4bb3be54d5ebb01d004d4865e2a4c2d3,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,uncultured,Flavobacteriaceae bacterium LE20,4bb3be54d5ebb01d004d4865e2a4c2d3
1c2b8892a0d7f828d72808cd01cfd199,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,,1c2b8892a0d7f828d72808cd01cfd199
137757a3c85a803f683cc1bc8dd4f89a,Bacteria,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Thioreductor,uncultured bacterium,137757a3c85a803f683cc1bc8dd4f89a
a9a479d8d237250668a0e24bc292bcb7,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Cryomorphaceae,uncultured,uncultured Bacteroidetes/Chlorobi group bacterium,a9a479d8d237250668a0e24bc292bcb7
f672aa3aea2d03f0b297739022e9b716,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,,,f672aa3aea2d03f0b297739022e9b716
d52d14abfccb539e79068c89454cbbbd,Bacteria,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,,d52d14abfccb539e79068c89454cbbbd
ede7c4645eae753ffcd58b813489e73a,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Microscillaceae,OLB12,,ede7c4645eae753ffcd58b813489e73a
78c20e329a7b47d11c13171c92a1aad2,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,,78c20e329a7b47d11c13171c92a1aad2
cbc0cbfe40912ff3227e87e167bb6113,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,,,cbc0cbfe40912ff3227e87e167bb6113
00d4306620fb956f4cb8ea6616da13a3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales Incertae Sedis,uncultured,,00d4306620fb956f4cb8ea6616da13a3
e05c0a2103e5d2661e2dbe77df1080e2,Bacteria,Bacteroidetes,Bacteroidia,,,,,e05c0a2103e5d2661e2dbe77df1080e2
6a679587c40215f64acb6b0231b57581,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Rubinisphaeraceae,uncultured,,6a679587c40215f64acb6b0231b57581
a3f8752e3bac7f487e9a48c14482fc3d,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Methylophilaceae,Methylotenera,,a3f8752e3bac7f487e9a48c14482fc3d
283a0d4ab64b21d54a84df3683fc17bb,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,uncultured,,283a0d4ab64b21d54a84df3683fc17bb
4b04c904a782b37ce632c64a6d1212f5,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,,4b04c904a782b37ce632c64a6d1212f5
68262884f1021c896f8e1bf7348d773c,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,68262884f1021c896f8e1bf7348d773c
deef40a69e31639a2389778790f0c370,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,NS11-12 marine group,unidentified marine bacterioplankton,unidentified marine bacterioplankton,deef40a69e31639a2389778790f0c370
5553d7d93674e7d9a424dd8f8b28d04a,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,env.OPS 17,,,5553d7d93674e7d9a424dd8f8b28d04a
0cae50cc1853c95b09dcde542a99b2ff,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hirschia,,0cae50cc1853c95b09dcde542a99b2ff
7ebbb1e6f79a2910951c191a4bf1df66,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,Methyloversatilis,,7ebbb1e6f79a2910951c191a4bf1df66
83bbdc17281de803506db776d5cb544c,Bacteria,Margulisbacteria,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,83bbdc17281de803506db776d5cb544c
455219eeb206cd432bf64f51159e0b4c,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,uncultured bacterium,455219eeb206cd432bf64f51159e0b4c
1d977801118baba51569d3ce9fff7f29,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,,1d977801118baba51569d3ce9fff7f29
0b36c352632cb1346cdc7d73f9fb376c,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,0b36c352632cb1346cdc7d73f9fb376c
b15186f98f10d5531303118aab40753d,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,,,b15186f98f10d5531303118aab40753d
7d80acb1d09768b81476280e9ea221de,Bacteria,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,,,7d80acb1d09768b81476280e9ea221de
cfe0cf1b9d55b40db6066ab801eb6231,Bacteria,Cyanobacteria,Oxyphotobacteria,Nostocales,Nostocaceae,Rivularia PCC-7116,Ambiguous_taxa,cfe0cf1b9d55b40db6066ab801eb6231
0b14bc545295abb80247367673eb0d6f,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,,,0b14bc545295abb80247367673eb0d6f
afde2f8e44e454b7451b7d96d358c068,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Cryomorphaceae,uncultured,metagenome,afde2f8e44e454b7451b7d96d358c068
713792a64c8973078a6a493a92579ddf,Bacteria,Patescibacteria,Parcubacteria,Candidatus Campbellbacteria,metagenome,metagenome,metagenome,713792a64c8973078a6a493a92579ddf
be9d6317e49313c0a8885815491ce6f0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,,be9d6317e49313c0a8885815491ce6f0
5ef0d3c4ed4efcfa1d844a18c6d5205f,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,,5ef0d3c4ed4efcfa1d844a18c6d5205f
65a75a16ddf0882daec9e72eea3aa180,Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Solimonadaceae,Nevskia,,65a75a16ddf0882daec9e72eea3aa180
9c0d81cf282cff1b5ffc4889aa9594e4,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Prosthecobacter,,9c0d81cf282cff1b5ffc4889aa9594e4
fd2899fba49792389b004ff5b4edc105,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrio,,fd2899fba49792389b004ff5b4edc105
0db9c160cd03eccc349d2131ca91b4d8,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,,,,0db9c160cd03eccc349d2131ca91b4d8
9374db889ef0b3cf405933a8bea88511,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,env.OPS 17,metagenome,metagenome,9374db889ef0b3cf405933a8bea88511
b579558db8af6d77ab06f7fd10072d14,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,b579558db8af6d77ab06f7fd10072d14
8693216da01a75f2a374a093665476ec,Bacteria,Proteobacteria,Alphaproteobacteria,Thalassobaculales,Thalassobaculaceae,Thalassobaculum,,8693216da01a75f2a374a093665476ec
70a47616ac4937a11cd1ae7809f4a6ac,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,OM27 clade,,70a47616ac4937a11cd1ae7809f4a6ac
6df95b4c8ba293fded6976aacf45572e,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Family III,Caldicellulosiruptor,,6df95b4c8ba293fded6976aacf45572e
9879a750c4dcbe94271efc3a64a8dcc6,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,uncultured,Ambiguous_taxa,Ambiguous_taxa,9879a750c4dcbe94271efc3a64a8dcc6
e15844b3dabd49a2995f936c5b616330,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,e15844b3dabd49a2995f936c5b616330
ce01bdadda088b175d57fd2aeb2fca74,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,,ce01bdadda088b175d57fd2aeb2fca74
a67f500f592f952f09da73c302598b39,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Cyclobacteriaceae,uncultured,,a67f500f592f952f09da73c302598b39
f79f36f908807703a1c686614ea9d275,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,,f79f36f908807703a1c686614ea9d275
b7b20636435a7c4ed4a41195b0e0ac05,Bacteria,Planctomycetes,Brocadiae,Brocadiales,GWA2-50-13,uncultured bacterium,uncultured bacterium,b7b20636435a7c4ed4a41195b0e0ac05
8262ab51d7e45df6bec851b10f3fd4b2,Bacteria,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,,8262ab51d7e45df6bec851b10f3fd4b2
02b8577fa3d08085ec120bb2a2106963,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,uncultured,,02b8577fa3d08085ec120bb2a2106963
d5b23bb0b75b67df5ecd5ad44760b312,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,uncultured,uncultured Sphingobacteriales bacterium,d5b23bb0b75b67df5ecd5ad44760b312
4a0b292ba716582f9af46694458c0b9b,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,,,,4a0b292ba716582f9af46694458c0b9b
7f9efe4202c231c9f641ca7f2e0f9137,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,NS9 marine group,,,7f9efe4202c231c9f641ca7f2e0f9137
4112eeace57200636aefa80277a9968b,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,,,4112eeace57200636aefa80277a9968b
58f3e7e801070870f03f491e897b1ff8,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,,,,58f3e7e801070870f03f491e897b1ff8
bf22db47913a3eef9827e30344eb634b,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,OM27 clade,,bf22db47913a3eef9827e30344eb634b
c263028ef4998cd5f069c432883962d3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Terasakiellaceae,uncultured,,c263028ef4998cd5f069c432883962d3
